type	Taxa	HoS	HoS.within	HoS.pro	abund
1	L	Actinobacteria	0.344232446542847	9.54234779163865	2.30595716381707	3.37988876078075
2	L	Alphaproteobacteria	10.8836687400784	21.5321244657586	72.9079264661115	44.2153300634135
3	L	Deltaproteobacteria	0.670660208173851	16.7878921139421	4.49264363966062	5.77118779486256
4	L	Firmicutes	1.18901353645579	22.4771748794876	7.96500826636755	4.81448803039419
5	L	Gammaproteobacteria	0.474722478505166	11.0026004953947	3.18008866139155	4.86004266298272
6	L	Others	1.34891051152558	3.37035383024109	9.03613209225288	36.8306102124301
7	L	Planctomycetia	0.0167557002558059	5.90255907277841	0.112243710398862	0.128452475136216
8	R	Actinobacteria	0.218072932243886	3.86625450506891	1.96707275237031	5.45875948337722
9	R	Alphaproteobacteria	8.75074018471563	12.7386525436186	78.9338796122356	67.388166268335
10	R	Deltaproteobacteria	1.38870240272782	22.0950397498045	12.5264453018041	4.42258926832619
11	R	Firmicutes	0.195884873852683	10.5218340777872	1.76693087946458	1.76034092266147
12	R	Gammaproteobacteria	0.202471928276121	3.26550979487711	1.82634776876579	4.59578201728891
13	R	Others	0.286968048903177	1.86428624611213	2.58852405014212	15.9386674462536
14	R	Planctomycetia	0.0433246926271666	9.9822062077571	0.390799635217488	0.435694593757514
15	S	Actinobacteria	2.42774447319259	13.1528692377548	16.409308278407	18.5793677541476
16	S	Alphaproteobacteria	2.43963743837622	11.8826327422391	16.4896937284399	20.6370539883127
17	S	Deltaproteobacteria	6.60273755721235	56.4119003782472	44.6284018989994	11.6548891813902
18	S	Firmicutes	0.709647064640061	18.7790486753033	4.79655811438505	2.96107687402623
19	S	Gammaproteobacteria	0.0446969109272162	2.90609568136319	0.302109797219588	1.55233828850648
20	S	Others	1.91293004508357	4.44834786986249	12.9296386713731	43.0190970277509
21	S	Planctomycetia	0.657529197146176	39.5042310875719	4.44428951117589	1.59617688586591
